date,forecast_revenue,lower_95,upper_95
2026-01-01,2757.8900000000003,1403.65,4112.110000000001
2026-01-02,2810.51,1456.2800000000002,4164.74
2026-01-03,2734.03,1379.8,4088.26
2026-01-04,2823.05,1468.8200000000002,4177.28
2026-01-05,2892.1800000000003,1537.9499999999998,4246.41
2026-01-06,2828.7,1474.4699999999998,4182.93
2026-01-07,2790.63,1436.4,4144.86
2026-01-08,2754.27,1400.04,4108.5
2026-01-09,2806.9,1452.67,4161.13
2026-01-10,2730.42,1376.19,4084.6499999999996
2026-01-11,2819.44,1465.2,4173.66
2026-01-12,2888.57,1534.33,4242.79
2026-01-13,2825.09,1470.8600000000001,4179.32
2026-01-14,2787.02,1432.79,4141.25
2026-01-15,2750.66,1396.43,4104.889999999999
2026-01-16,2803.2799999999997,1449.05,4157.51
2026-01-17,2726.81,1372.58,4081.04
2026-01-18,2815.82,1461.59,4170.05
2026-01-19,2884.96,1530.72,4239.18
2026-01-20,2821.48,1467.24,4175.7
2026-01-21,2783.4,1429.17,4137.63
2026-01-22,2747.04,1392.8200000000002,4101.28
2026-01-23,2799.67,1445.44,4153.9
2026-01-24,2723.19,1368.97,4077.43
2026-01-25,2812.21,1457.98,4166.44
2026-01-26,2881.34,1527.11,4235.57
2026-01-27,2817.87,1463.63,4172.09
2026-01-28,2779.79,1425.56,4134.0199999999995
2026-01-29,2743.43,1389.21,4097.67
2026-01-30,2796.06,1441.83,4150.29
